text,label
The numbers are unrelenting: This year is the highest on record of lives lost in the U.S. to anti-trans violence—the majority being Black trans women. Let #TDoR serve as a reminder that we are all responsible for fostering inclusion and empathy in our communities. https://t.co/3ZRI8wukAd,0
"Dr. Ian Winburn, VP, Global Medical Lead, Hemophilia, at Pfizer explores how healthcare professionals and patients are embracing telemedicine in hemophilia care in the 1st episode of the “Hemcast” podcast series.

#Hemophilia #Telemedicine #DigitalHealth",0
November is C. diff Awareness Month. Help us raise awareness of this potentially life-threatening infection by visiting https://t.co/LWv1HUm5u7 to learn more about its symptoms ranging from diarrhea to severe intestinal infections. #NovemberCdiffAwareness #CdiffInfectionAwareness,0
"We all rely on antimicrobial medicines, like #antibiotics, to treat infections but the effectiveness of these medicines are under threat from #superbugs Learn more about what you can do to #StopSuperbugs below 👇 
 #WAAW https://t.co/tVwbjnffhs",0
"At #SABCS21, we’re presenting 20+ abstracts that use clinical and real-world evidence to help us better understand the use of our #BreastCancer medicines in often understudied populations. #HealthEquity @SABCSSanAntonio https://t.co/QUWKmJA8ah https://t.co/yjwCjoAA5A",0
Pfizer and BioNTech are pleased to support as a COVID-19 Vaccine Donor to Olympic and Paralympic Athletes and Delegations for the Olympic and Paralympic Winter Games 2022 in Beijing in February: https://t.co/0wbE51zczA https://t.co/3ouCc1gezk,0
Biomarkers play an important role in the diagnosis &amp; treatment of #lungcancer. Join the conversation at #KnowYourBiomarker to hear what people are saying and learn about the impact of various types of biomarkers on lung cancer treatment. #NoOneMissed #KNOWvember #LCAM @LUNGevity https://t.co/qifAB79iuB,0
Emergency uses of the vaccine have not been approved or licensed by US FDA but have been authorized to prevent COVID-19 in ages 5+. See Fact Sheets: https://t.co/QOmeTrYvbc,0
https://t.co/GNEpSfIXTK,0
https://t.co/g3z2BvfTf6,0
"Today, we announced the @US_FDA has expanded the emergency use authorization (EUA) of a booster dose of our COVID-19 vaccine to include individuals 18 and older. Learn more: https://t.co/gkKSSdmYNE https://t.co/36kNjsVDih",0
We’re proud to have been recognized as the joint industry leader in the @ATMIndex #AMRBenchmark report and are encouraged by the collective efforts being made by the industry to help address the growing threat of #AMR.  Read more 👇 https://t.co/dwSRGD03Cv,0
"Welcome to the second edition of ""What the heck is that?"" where we invite armchair scientists to answer the very important question, What the heck is that?

#Quiz #ScienceWillWin https://t.co/4ijUsJLMHI",0
